GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C7L001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,Standard Metropolitan Statistical Area Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Block Code,Enumeration District Indicator Code,Enumeration District Code,Standard Consolidated Statistical Area Code,Urban Area Code,Congressional District Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,MCD Sequence Number Code,5-Digit Zip Code Code,Area Name,Total
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,,"AUTAUGA COUNTY",32259
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,,"BALDWIN COUNTY",78556
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,,"BARBOUR COUNTY",24756
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,,"BIBB COUNTY",15723
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,,"BLOUNT COUNTY",36459
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,,"BULLOCK COUNTY",10596
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,,"BUTLER COUNTY",21680
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,,"CALHOUN COUNTY",119761
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,,"CHAMBERS COUNTY",39191
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,,"CHEROKEE COUNTY",18760
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,,"CHILTON COUNTY",30612
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,,"CHOCTAW COUNTY",16839
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,,"CLARKE COUNTY",27702
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,,"CLAY COUNTY",13703
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,,"CLEBURNE COUNTY",12595
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,,"COFFEE COUNTY",38533
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,,"COLBERT COUNTY",54519
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,,"CONECUH COUNTY",15884
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,,"COOSA COUNTY",11377
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,,"COVINGTON COUNTY",36850
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,,"CRENSHAW COUNTY",14110
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,,"CULLMAN COUNTY",61642
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,,"DALE COUNTY",47821
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,,"DALLAS COUNTY",53981
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,,"DE KALB COUNTY",53658
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,,"ELMORE COUNTY",43390
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,,"ESCAMBIA COUNTY",38440
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,,,"ETOWAH COUNTY",103057
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,,,"FAYETTE COUNTY",18809
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,,,"FRANKLIN COUNTY",28350
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,,,"GENEVA COUNTY",24253
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,,,"GREENE COUNTY",11021
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,,,"HALE COUNTY",15604
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,,,"HENRY COUNTY",15302
"G0100690","1980","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,,,"HOUSTON COUNTY",74632
"G0100710","1980","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,,,"JACKSON COUNTY",51407
"G0100730","1980","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,,,"JEFFERSON COUNTY",671324
"G0100750","1980","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,,,"LAMAR COUNTY",16453
"G0100770","1980","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,,,"LAUDERDALE COUNTY",80546
"G0100790","1980","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,,,"LAWRENCE COUNTY",30170
"G0100810","1980","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,,,"LEE COUNTY",76283
"G0100830","1980","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,,,"LIMESTONE COUNTY",46005
"G0100850","1980","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,,,"LOWNDES COUNTY",13253
"G0100870","1980","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,,,"MACON COUNTY",26829
