GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C7L001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,Standard Metropolitan Statistical Area Name,Standard Metropolitan Statistical Area Code,County Name,County Code,County Subdivision Code,Place Name,Place Code,Census Tract Code,Block Group Code,Block Code,Enumeration District Indicator Code,Enumeration District Code,Standard Consolidated Statistical Area Code,Urban Area Code,Congressional District Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,MCD Sequence Number Code,5-Digit Zip Code Code,Area Name,Total
"G010045001500060","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Anniston","0060",,,,,,,,,,,,"ANNISTON CITY",29523
"G010045001500200","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Blue Mountain","0200",,,,,,,,,,,,"BLUE MOUNTAIN TOWN",284
"G010045001500282","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Bynum","0282",,,,,,,,,,,,"BYNUM %CDP<",2235
"G010045001500562","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Eulaton","0562",,,,,,,,,,,,"EULATON %CDP<",1869
"G010045001500652","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Fort Mcclellan","0652",,,,,,,,,,,,"FORT MCCLELLAN %CDP<",7605
"G010045001500745","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Glencoe","0745",,,,,,,,,,,,"GLENCOE CITY",14
"G010045001500895","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Hobson City","0895",,,,,,,,,,,,"HOBSON CITY TOWN",1268
"G010045001500955","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Jacksonville","0955",,,,,,,,,,,,"JACKSONVILLE CITY",9735
"G010045001501300","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Ohatchee","1300",,,,,,,,,,,,"OHATCHEE TOWN",860
"G010045001501325","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Oxford","1325",,,,,,,,,,,,"OXFORD CITY",8463
"G010045001501375","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Piedmont","1375",,,,,,,,,,,,"PIEDMONT CITY",5544
"G010045001501519","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Saks","1519",,,,,,,,,,,,"SAKS %CDP<",11118
"G010045001501595","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Southside","1595",,,,,,,,,,,,"SOUTHSIDE TOWN",42
"G010045001501768","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Vinnette","1768",,,,,,,,,,,,"VINNETTE %CDP<",1809
"G010045001501800","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"Weaver","1800",,,,,,,,,,,,"WEAVER TOWN",2765
"G010045001501816","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,"West End-Cobb Town","1816",,,,,,,,,,,,"WEST END-COBB TOWN %CDP<",5189
"G010045001509999","1980","3","6","Alabama","01","ANNISTON, ALA.","0450","Calhoun","015",,,"9999",,,,,,,,,,,,"REMAINDER OF CALHOUN DIVISION",31438
